tokenized_text,業界
"['日本', 'ホテル', '株式会社', 'グループ', '会社', 'ホテルメトロポリタン', '高崎', 'ホテルファミーオ', 'みな', '運営', 'ホテルメトロポリタン', '高崎', '宿泊', 'はじめ', 'レストラン', 'ウエディング', '各種', '宴会', '会議', 'サービス', '提供', 'ホテルファミーオ', 'みな', '水上', '温泉', '立地', '温泉', '宿泊', '施設']",ホテル・旅館業界の会社
"['大阪', '府', '拠点', '特殊', '品', '標準', '品', 'ロッド', 'エンド', '製造', '卸売', '研磨', '機械', '旋削機', '械', '自社', '製', 'ボール', 'ラップ', '盤', '製造', 'こと', '特徴']",金属部品製造業界の会社
"['自動車', '部品', '製造', '主力', '事業', '会社', '主', '鉄', 'ステンレス', 'アルミ', '使用', 'プレス', '加工', '溶接', '加工', '0', '.', '6', 'mm', '6', 'mm', '板', '厚', '50', 'mm', '600', 'mm', '幅', 'コイル', '材', '加工', '可能', '点', '特徴', '住宅', '部材', '製造']",自動車部品・カー用品製造業界の会社
"['メンズ', 'ヘアサロン', 'ヘアーサロンオオクシ', '美容', 'サロン', 'ヘアカラーファクトリー', 'カット', 'ビースタイル', '運営', 'ノンエイジ・ユニセックスサロン', 'ファミリー', '向け', 'サロン', '6', 'ブランド', '展開', 'その他', 'グループ', '会社', '独立', '支援', '経営', 'コンサルティング', '研修']",美容サロン業界の会社
"['神戸', '市', '中心', 'タクシー', '業', '通常', 'タクシー', '業務', 'ほか', '神戸', '空港', '関西', '空港', '定額', 'タクシー', 'サービス', 'の', '特徴', '神戸', '観光', '施設', '観光', 'タクシー', '運行']",タクシー業界の会社
"['介護', '福祉', '施設', '燦燦', '運営', 'ショートステイ', 'ロングステイ', 'サービス', '提供', '施設', '利用', '者', '健康', '管理', '服薬', '管理', '他', 'バイタルチェック', 'その他', 'デイサービス', 'ケア', 'マネジメント', 'サービス', '提案']",高齢者向け福祉業界の会社
"['琵琶湖', '湖畔', '位置', 'リゾート', '型', '宿泊', '施設', 'びわこ', '緑', '水', '亭', '経営', '会社', 'びわこ', '緑', '水', '亭', '良質', '眺望', 'エステ', 'マッサージ', 'サービス', '提供', 'ウェディング', '披露宴', '等', '対応']",ホテル・旅館業界の会社
"['大阪', '府', '大阪', '市', '訪問', '介護', '所', '訪問', '介護', 'ステーション', 'さくら', '樹', '運営', '主', '身体', '介護', '生活', '援助']",高齢者向け福祉業界の会社
"['屋根', '葺き替え', '外壁', '工事', '住宅', 'リフォーム', '工事', '社内', '二', '級', '建築', '士', 'はじめ', '一級', '建築', '板金', '技能', '士', '建築', '板金', '基幹', '技能', '士', '資格', '者', '多数', '小屋', '特', '化', '展示', '場', '開設']",居住用リフォーム業界の会社
"['島根', '県', '安来', '市', 'シャフト', 'ピン', 'リング', '精密', '機械', '器具', '製造', 'NC', '旋盤', '加工', '研磨', '加工']",金属部品製造業界の会社
"['カット', '専門', '美容', '室', '運営', '会社', '自社', '専用', 'Web', 'ページ', '待ち時間', '確認', '予約', 'こと', '店舗', '受付', '外出', '順番', '時', 'メール', '通知', 'システム', '導入']",美容サロン業界の会社
"['通所', '介護', 'デイサービス', 'センター', '運営', '中心', '会社', '専門', 'セラピスト', 'マッサージ', '柔軟', '運動', '関節', '運動', '個人', '身体', '状況', '個別', '機能', '訓練', '整骨', '院', '運営', 'Web', '求人', 'サイト', 'げんき', 'ワーク', '運営']",高齢者向け福祉業界の会社
"['東京', 'ファブリック', '工業', '株式会社', '金属', '製品', '製造', '委託', '先', '橋梁', '用', '高速', '道路', '用', '鉄道', '用', '金属', '部品', '製造', '木造', '鉄骨', '製', '住宅', '建築', '増', '改築', 'リフォーム', '対応', 'その他', '工場', '倉庫', '事業', '所', '店舗', '建設']",金属部品製造業界の会社
"['英', '進', '館', '株式会社', '子会社', '英', '進', '館', '株式会社', '中学校', '受験', '大学', '受験', '受験', '対策', '予備校', '英', '進', '館', '運営']",塾・受験予備校業界の会社
"['千葉', '県', '南部', '神奈川', '県', '東部', 'カー', '用品', '販売', 'イエローハット', 'サービスステーション', 'コスモ石油', '運営', '自動車', '保険', '中心', '損害', '保険', '販売']",自動車部品・カー用品製造業界の会社
"['スイッチ', 'リモコン', '中心', '自動車', '部品', '製造', '部品', '成型', '樹脂', '塗装', '他', '組', '付', 'ハンドル', 'ステアリング', 'スイ', 'ッチ', '等', '印字', '技術', 'レーザーマーキング', '加工']",自動車部品・カー用品製造業界の会社
"['フランチャイズ', '展開', '予備校', '武田', '塾', '運営', '就労', '移行', '支援', '事業', '所', 'Shien', 'グループ', '運営', 'フランチャイズ', 'コンサルティング']",塾・受験予備校業界の会社
"['大分', '県', '別府', '鉄輪', '温泉', '保有', '宿泊', '施設', 'ホテル', '山水館', '運営', '露天風呂', '付き', '客室', '保有', '点', '特徴']",ホテル・旅館業界の会社
"['カーナビゲーション', 'ETC', '走行', '支援', '機器', '自動車', '電気', '電子', '機器', '関連', '部品', '販売', 'メンテナンス', 'トヨタ自動車', 'カー', '用品', '販売', '店', 'ジェームス', '運営', 'ドコモ', 'ショップ', '運営', '損害', '保険', '生命', '保険', '代理', '業']",自動車部品・カー用品製造業界の会社
"['ブシュ', 'ベアリングスラスト', 'ワッシャ', '自動車', '機能', '部品', '精密', '部品', '製造', '開発', '会社', '金', '型', '治', '工具', 'CAD', '/', 'CAM', '開発', '製作', '金属', 'プレス', '切削', '研削', '一連', '加工']",自動車部品・カー用品製造業界の会社
"['物流', '事業', '展開', 'メイホグループ', 'タクシー', '事業', 'グループ', '会社', '観光', '修学旅行', '対象', '貸切', 'バス', '射水', '市', '路線', 'バス', '事業', 'その他', '訪問', '介護', '事業', 'コミュニティ', 'バス', '運営']",タクシー業界の会社
"['工作', '機械', '部品', '船舶', '内燃', '機', '部品', '製材', '機械', '部品', '使用', '鋳造', '製品', '製造', '普通', '鋳鉄', '球状', '黒鉛', '鋳鉄', 'ダグタイル', '鋳鉄', '技術', 'JIS', '規格', '対応', '鋳造', '製品', '製造', '可能']",金属部品製造業界の会社
"['訪問', '介護', '事業', '所', '大和田', '居宅', '介護', '支援', '事業', '所', '運営', '福祉', '用具', 'レンタル', '住宅', 'バリアフリー', '工事', 'その他', '介護', 'タクシー', '移送', 'サービス', '訪問', '入浴', 'サービス']",高齢者向け福祉業界の会社
"['プラス', '加工', '蝶番', '建築', '金物', 'トラック', 'アオリ', '部品', '製造', '果樹', '園', '用金', '物', 'ハードディスク', 'ボックス', '他', '金', '型', '製造']",金属部品製造業界の会社
"['広島', '駅前', '3', '館', 'ホテル', '広島', 'インテリジェント', 'ホテル', '運営', '宿泊', 'はじめ', '食事', '会議', '宴会', '結婚式', '使用', '広島', '県', '愛媛', '県', '岡山', '県', 'オフィス', 'ビル', '貸し', '会議', '室', '運営']",ホテル・旅館業界の会社
"['神奈川', '県', '横浜', '市', '拠点', '警備', '業務']",警備業界の会社
"['神奈川', '県', '愛甲', '郡', 'ゴルフ', '場', '清川', 'カントリークラブ', '運営', '管理', '施設', '内', 'レストラン', '土産物', '店', '運営']",ゴルフ場業界の会社
"['法人', '個人', '職人', '工事', '会社', '工事', '受発注', '建設', '事業', '者', 'マッチング', 'サービス', '助太刀', '運営', '工事', '代金', '支払', '受取', '労災', '保険', '加入', '工具', '購入', '修理', 'レンタル', 'アプリ', '内', 'サービス', '提供', '建設', '業界', '求人', '求人', 'サイト', '助太刀', '社員', '運営']",Webサービス・アプリ運営業界の会社
"['自動車鋳物', '部品', '鋳造', 'ディスクローター', 'オイル', 'ポンプ', '製造', 'アビーム', 'プレス', '部品', '生産']",自動車部品・カー用品製造業界の会社
"['ダイカスト', '加工', 'フライス', '加工', '鍛造', '歯', '切り', '加工', '品', 'マシニング', '加工', '品', 'シャフト', '製造', '卸売', '鍛造', '製品', '鋳物', '製品', '真鍮', '製品', '他', '農業', '用', '機械', '部品', '建設', '用', '機械', '部品']",金属部品製造業界の会社
"['神奈川', '県', '鎌倉', '市', '拠点', 'ディーゼルエンジン', '燃料', '噴射', '用', 'ノズル', 'ロアボディ', 'ノズルホルダーボディ', '製造']",自動車部品・カー用品製造業界の会社
"['秘', '湯', '宿', '滝見', '苑', '運営', 'レストラン', 'ラウンジ', '売店', '併設', 'こと', '特徴', '日帰り', '温泉', '施設', 'もみ', '木', '運営', '炭火', '焼', 'バーベキュー', '施設', '個室', '炭火', '焼肉', '運営', '展開', 'その他', 'ゴルフ', '場', '運営']",ホテル・旅館業界の会社
"['株式会社', '日の丸', 'リムジン', 'タクシー', 'ハイヤー', '事業', '中心', '展開', '旅客', '輸送', '会社', '多種', '車', '導入', 'こと', '強み', '近年', '電気', 'ステラ', '自動車', '導入', '法人', '向け', '個人', '向け', '観光', 'バス', '予約', '対応']",タクシー業界の会社
"['有料', '介護', '付き', '老人', 'ホーム', 'グリーン', 'ヴィラペリデ', '長田', 'シーサイド・ヴィラペリデ', '下川原', 'ペリデアネックス', '運営', '居宅', '介護', '支援', '施設', 'ケアマネジメントペリデ', '新通', '施設', '専属', 'プロ', '料理', '人', '毎日', '手作り', '食事', '提供', 'の', '特徴']",高齢者向け福祉業界の会社
"['兵庫', '県', '尼崎', '市', 'タクシー', '運行']",タクシー業界の会社
"['愛知', '県', '近県', 'エリア', '建設', '現場', '道路', '工事', '現場', '交通', '誘導', '警備', '事務所', '飲食', '店', '施設', '警備', 'イベント', '会場', '雑踏', '警備']",警備業界の会社
"['混浴', '露天風呂', 'はじめ', '丸太', '露天風呂', '露店', '岩', '風呂', '温泉', '宿', '温泉', '運営', '施設', 'マッサージ', 'ルーム', 'リラクゼーション', 'ルーム']",ホテル・旅館業界の会社
"['自動車', '機能', '部品', 'ばね', 'ばね', '圧縮', 'ばね', '製造', 'ばね', '成形', '応用', '技術', '銅', '線', 'ワイヤー', '製品', '加工', 'HV', '自動車', 'モータ', '関連', '部品', '製造', 'その他', '計測', '機器', '関連', '建築', '土木', '関連', 'ばね', '製品', '製造', '可能']",自動車部品・カー用品製造業界の会社
"['エンジン', 'ルーム', '内', 'ブレーキ', '部品', '自動車', '基礎', '部品', '加工', '切削', '機', 'NC', '旋盤', '金属', '加工']",自動車部品・カー用品製造業界の会社
"['様々', 'ジャンル', '店舗', '情報', '店舗', '利用', '者', '評価', '口コミ', '付加', '発信', '消費', '者', '生成', 'メディア', 'サイト', 'エキテン', '運営', '中心', 'インターネット', 'メディア', '事業', 'サイト', '利用', 'ユーザー', '店舗', '検索', 'ランキング', 'はじめ', 'サービス', '提供', '他', 'サイト', '他', 'アド', 'ネットワーク', '事業', '者', '配信', '広告', '掲載', '対応', 'その他', 'IT', 'オフショア', '開発', 'カード', '名刺', '作成', 'アプリ', 'ヘルスケア', 'コンディション', '管理', 'アプリ', '開発']",Webサービス・アプリ運営業界の会社
"['アルミ', 'ステンレス', 'チタン', '材料', '研磨', '加工', '切削', '加工', '金属', '部品', '加工', 'プラスチック', '成形', '金属', '射出', '成形', '使用', '金', '型', '設計', '製作']",金属部品製造業界の会社
"['介護', '必要', '認知', '症', '患者', '対象', '複合', '型', '介護', '施設', 'ケア', 'センター', '和', '家', '運営', '主', 'デイサービス', 'グループホーム', '介護', '相談', '業務', '食事', '入浴', '身の回り', 'サポート', '機能', '訓練', '様々', '介護', 'サービス', '提供']",高齢者向け福祉業界の会社
"['サービス', '付き', '高齢', '者', '向け', '住宅', '有料', '老人', 'ホーム', '運営', '中心', 'デイサービス', '介護', '他', '居宅', '介護', '支援', '自宅', '介護', '相談', '訪問', '介護', '対応', 'その他', '介護', '施設', '運営', 'セミナー']",高齢者向け福祉業界の会社
"['女性', '向け', '求人', 'サイト', 'GLOBAL', 'STAFF', '運営', '人材', '派遣', '紹介', '予定', '派遣', '派遣', '対象', '事務', '印刷物', '編集', 'CAD', '設計', 'デモンストレーション', '等']",人材紹介業界の会社
"['不動産', '賃貸', '売買', '仲介', '業務', 'デザイナーズ', '物件', '2', '店舗', 'うち', '1', '店舗', 'ピタットハウス', '加盟', '店', '様々', '情報', '物件', '可能', '日本', '社宅', 'サービス', '株式会社', '認定', '店', '社宅', '情報', '提供']",マンション・アパート賃貸業界の会社
"['ビジネスホテルグリーンチェーン', '仙台', 'ホテルグリーンパーク', 'ホテル', '運営', 'ホテル', 'プレミアム', 'グリーン', 'プラス', '展開', '和洋', '朝食', 'バイキング', '提供', '点', '特徴']",ホテル・旅館業界の会社
"['乗用車', 'トラック', '使用', 'パワー', 'ステアリング', 'エンジン', 'ミッション', '等', '部品', '製造', '主', '鉄', 'アルミ', 'ステンレス', '等', '材質', '使用', '冷', '間', '鍛造', '素材', '加工', '精密', '機械', '加工', '一貫', '生産', '体制', '点', '特徴']",自動車部品・カー用品製造業界の会社
"['精肉', '販売', '自社', 'ホームページ', '販売', '病院', '精肉', '卸売', '惣菜', '歳暮', 'ちの', '販売', '対応']",食品店業界の会社
"['自動車', '部品', '等', '精密', 'バネ', '特殊', 'バネ', '製造', '加工', '販売', '製品', '制度', '生産', 'スピード', '量産', '性', 'フォーミング', '成形', '加工', '得意', '鉄', 'はじめ', '真鍮', '銅', 'ステンレス', '様々', '加工', '材料', '対応', '自動車', '部品', '以外', '洗濯', '機', '配管', 'ホース', '止め', '等', '家電', '用', '部品', '製造']",金属部品製造業界の会社
"['通信', '販売', 'サイト', 'しま', '屋', '運営', '契約', '農家', '果物', '野菜', 'スイーツ', '馬刺し', '食品', '販売', '通信', '販売', 'テレマーケティング', 'コンサルティング']",食品店業界の会社
"['富山', '県', '富山', '市', '本社', '軸受', '保持', '器', '製造', '販売', '製品', 'ラジアルボール', '軸受', '保持', '器', '球面', 'ころ', '軸受', '保持', '器', '円錐', 'ころ', '軸受', '保持', '器']",金属部品製造業界の会社
"['中古', '車', 'ターゲット', 'オーク', 'ション', '会場', '運営', '会社', '参加', '者', '古物商', '許可', '証', '保有', '一定', '条件', 'クリア', '会員', '限定', 'Web', 'オーク', 'ション', '参加', '可能', 'オークション', '特', '化', '点', '強み']",中古車販売業界の会社
"['北海道', '網走', '市', 'リゾート', 'ホテル', 'しり', '湖', '鶴', '雅', 'リゾート', '運営', 'ラウンジ', 'バー', '図書', '室', 'シガ', 'ルーム', '他', 'バー', 'パーティー', 'ルーム', '浴場', 'エステ', 'サロン', '対応']",ホテル・旅館業界の会社
"['訪問', '介護', '事業', '所', 'ヘイセイホームヘルプステーション', '運営', '高齢', '者', '介護', '事業', '介護', '保険', '範囲', 'サービス', '中心', '入浴', '支援', '訪問', '介護', '車いす', '歩行', '器', '福祉', '用', '用具', '貸与', '販売', '点', '特徴', '介護', 'タクシー', '病院', '通院', '買い物', '対応']",高齢者向け福祉業界の会社
"['ヘアサロン', 'anfeel', '*', 'shibuya', 'Deseo', 'hair', '運営', '主', 'ヘア', 'カット', 'メイク', 'ネイル', 'まつげ', 'エクステ', '着付け', 'サービス', '提供', '海外', '展開', '米国', '香港', 'ヘアサロン', '運営']",美容サロン業界の会社
"['プレス', '加工', '精密', '金', '型', '設計', '製作', '自動車', '関連', '部品', '家電', '関連', '部品', '製作', '試作', '品', '少量', '生産', '対応', '自動車', '関連', '部品', '板', 'バネ', 'シリンダー', '家電', '関連', '部品', 'コード', 'キーパー', '製作']",自動車部品・カー用品製造業界の会社
"['ホテルニューアワジ', 'プラザ', '淡路島', '運営', '宿泊', 'サービス', '他', '温泉', 'アロママッサージサービス', '淡路島', '挙式', 'ウェディング', 'サービス', '提供', '会場', '料理', '提供', 'ドレス', '貸出']",ホテル・旅館業界の会社
"['ゴルフ', '場', 'ブリヂストンカンツリー', '倶楽部', '運営', 'メンバー', 'ゲスト', '利用', '対応', 'オープン', 'コンペ', '初回', '利用', '者', '向け', 'ラウンド', '体験', '割引', '制度', '導入', '点', '特徴']",ゴルフ場業界の会社
"['福岡', '県', '中心', '中古', 'マンション', '古戸', '建', '新規', '戸建て', '物件', '法人', '向け', '物件', 'ペット', '可', '物件', 'さまざま', '条件', '対応', '可能', '空き家', '運用', '事業', '貸し', 'コンテナ', '事業']",マンション・アパート賃貸業界の会社
"['主', '不動産', '賃貸', '仲介', '学生', 'シングル', '向け', '物件', 'ファミリー', '向け', '物件', '会社', '初期', '費用', '分割払い', '連帯', '保証', '人', '不要', 'ルーム', 'シェア', '可', '条件', '相談', 'の', '特徴', '他社', '不動産', '屋', '管理', '物件', '紹介']",マンション・アパート賃貸業界の会社
"['美容', '室', 'R', '.', 'graunt', 's', 'HAIR', 'vita', '運営', 'ネイルサロン', 'VALETTA', 'Beauty', 'ココネイル', '運営', 'まつげ', 'エクステ', 'RIN', '展開']",美容サロン業界の会社
"['溝の口', '駅', 'エリア', '賃貸', '仲介', '不動産', '売買', '駐車', '場', '管理', '賃貸', '管理', '業務', '代行', '土地', '活用', '等', '不動産', 'コンサルティング']",マンション・アパート賃貸業界の会社
"['奈良', '県', '橿原', '市', 'タクシー', '業', '会社', '英語', '乗務', '員', '在籍', '観光', 'タクシー', '観光', 'スポット', '利用', '対応', 'ケア', 'ドライバー', '在籍', '介護', 'タクシー', '業']",タクシー業界の会社
"['冷', '間', '成形', 'コイル', 'ばね', 'スプリング', '設計', '開発', '製造']",金属部品製造業界の会社
"['主', 'ダイカスト', '金', '型', '用', 'ピン', '使用', '押出し', 'ピン', 'コア', 'ピン', '製造', '自社', '開発', '製品', 'ハイブリッドコアピン', '製造', '素材', '一貫', '製造', 'その他', '特殊', '鋼', '加工', '精密', '旋盤', '加工', '精密', '機械', '加工']",金属部品製造業界の会社
"['主', '製造', '業', '人材', '派遣', '事業', '事前', '教育', '作業', '手順', '書', '現地', '現物', '明確', '作業', '指導', '産業', '教育', 'の', '特徴', '派遣', '契約', '書', '人材', '配置', '採用', '業務', '人材', 'サービス', '対応', '他', '外国', '籍', '労働', '者', 'サポート', '対応']",人材紹介業界の会社
"['ケア', 'プラン', '作成', '居宅', '介護', '支援', '施設', '｢', 'アイルケア', '｣', '有料', '老人', 'ホーム', '運営', '普通', '食', 'カロリー', '調整', '食', 'たん', '食', '高齢', '者', '向け', '配', '食', 'サービス', '｢', 'ごころ', '弁当', '｣', '運営', 'その他', 'はり', 'きゅう', 'マッサージ', '訪問', '治療', '｢', '元気', '治療', '院', '｣', '運営']",高齢者向け福祉業界の会社
"['本陣', 'パレス', '彦三', '本陣', 'ロイヤル', 'ハイム', '等', '賃貸', '管理', '仲介', 'マンション', 'テナント', '賃貸', 'その他', '建築', '工事', '設計', '施工', '監理', '等']",マンション・アパート賃貸業界の会社
"['リゾート', 'ホテル', 'ラディソン', '成田', '運営', 'レストラン', '宴会', '場', '会議', '室', 'ほか', 'スポーツ', 'ジム', '屋内', '外', 'プール', 'ゴルフ', '練習', '場', '等', '成田空港', '成田', '市内', '無料', 'シャトル', 'バス', '東京', '駅', '有料', 'バス', '運行']",ホテル・旅館業界の会社
"['鮮魚', 'ばん', 'ざい', '名古屋', '市内', '和食', '居酒屋', 'イタリアン', 'バル', '焼肉', '店', '串カツ', '店', '運営', '食材', '生産', '者', '直接', 'こと', '特徴', 'その他', '飲食', '店', '内装', 'デザイン', '等', 'プロデュース', '業務', '他', '店', 'コンサルティング', '業務']",居酒屋・バー業界の会社
"['ゴルフ', '場', '満濃', 'ヒルズ', 'カントリークラブ', '運営', 'クラブハウス', 'ゴルフ', '練習', '場', 'レストラン', 'メンバーズサロン', '設置', 'ゴルフ', 'クラブ', 'シューズ', 'レンタル']",ゴルフ場業界の会社
"['東京', '都内', '最大手', 'タクシー', '無線', 'グル', 'プ', '東京', '無線', '所属', 'タクシー', '会社', '保有', '車両', '半数', '以上', 'ハイ', 'グレード', '車', '車両', 'ドライブ', 'レコーダー', '搭載', '接客', 'サービス', '注力', '観光', 'タクシー', 'プレ', 'ママ', '安心', 'タクシー', '新た', 'サービス', '展開']",タクシー業界の会社
"['イベント', '工事', '現場', '警備', '業', '店内', '巡回', '店内', '警備', '保安', '事業']",警備業界の会社
"['NC', '複合', '型', '旋盤', 'はじめ', '精密', '加工', '技術', 'トヨタ', '自動車', '部品', 'メカトロニクス', '部品', '加工', '精密', '小物', '部品', '製造', '三', '次元', '測定', '器', '円', '度', '測定', '器', 'インライン', '自動', '計測', '機', 'データ', '品質', '管理', '海外', '向け', '製品']",自動車部品・カー用品製造業界の会社
"['機械', '警備', '警備', '輸送', '常駐', '警備', 'セキュリティ', 'サービス', '展開', '個人', '向け', '留守', '中', '家', '在宅', '中', '外出', '中', '家族', '法人', '向け', 'オフィス', '防犯', '管理', '情報', '漏えい', '防止', '安全', '対策']",警備業界の会社
"['長崎', '自動車', '株式会社', '子会社', '国民', '宿舎', '青雲', '荘', '運営', '雲仙', '小', '地獄', '温泉', '位置', '源泉', '使用', '露天風呂', '貸切', '風呂', '地獄', '温泉', '館', '運営', '長崎', '和牛', '旬', '彩', '会席', '旬', '彩', '御膳', '等', '夕食', 'プラン', '宿泊', '宴会', 'プラン', '等', '提供', 'その他', '日帰り', 'バス', 'ツアー', 'イベント', '開催']",ホテル・旅館業界の会社
"['デイサービス', '施設', 'デイサービス', '運営', '高齢', '者', '機能', '訓練', '介護', '常駐', '機能', '訓練', '指導', '員', '配置', '個人', 'プログラム', 'ほか', '高齢', '者', 'もみ', '物理', '療法', 'サービス', '対応']",高齢者向け福祉業界の会社
"['沖縄', '県', '島尻', '郡', '拠点', 'ペンギンタクシーグループ', '一員', 'タクシー', '運行']",タクシー業界の会社
"['新潟', '市', '自動車', '部品', '精密', '部品', '板金', '加工', '切断', '穴あけ', '加工', '溶接', '加工', '対応']",金属部品製造業界の会社
"['ヘア', 'カット', 'ヘア', 'セット', '着付け', 'メイク', 'フェイシャルエステ', '提供', 'ボディ', 'エステ', 'ネイル', '施術', '婚礼', '支度', '対応', 'その他', '店舗', '美容', 'グッズ', '美容', '用品', '販売']",美容サロン業界の会社
"['瀬戸内海', '大崎上島', 'ホテル', '運営', '宴会', '場', '結婚式', '場', '運営']",ホテル・旅館業界の会社
"['材料', '選定', '仕入れ', '施工', '全て', '自社', '住まい', 'リフォーム', '専門', '会社', '大阪', '他', '和歌山', '奈良', '滋賀', '京都', '店舗', '展開', '全面', 'リフォーム', '水', '回り', '等', '部分', 'リフォーム', '特定', 'メーカー', '系列', '店', '為', '顧客', '希望', 'メーカー', '仕入れ', '可能']",居住用リフォーム業界の会社
"['個人', '向け', '生命', '保険', '損害', '保険', '販売', '資産', '形成', '資産', '運用', 'コンサルティング', '他', '家計', '店舗', '運営', '法人', '向け', '財務', '資産', '運用', 'コンサルティング', '従業', '員', '向け', 'マネー', 'セミナー']",保険代理店業界の会社
"['地域', '密着', '型', '通所', '介護', 'デイサービス', 'ほお', '運営', '通い', '中心', '自宅', '訪問', '宿泊', '介護', '看護', '小規模', '機能', 'ホーム', 'ぎのき', '他', '予防', 'デイサービス', 'デイサービス', 'センター', '元気', '里', '山之口', '館', '運営']",高齢者向け福祉業界の会社
"['介護', '保険', '利用', '訪問', '介護', '高齢', '者', '福祉', 'サービス', 'メイン', '高齢', '者', '支援', '住宅', '老人', 'ホーム', '選び', 'サポート', '連携', '医療', '機関', '紹介', '対応', 'その他', '訪問', '型', 'マッサージ', '鍼灸施', '術', 'サービス']",高齢者向け福祉業界の会社
"['普通', '車', 'タクシー', 'サービス', '提供', '長崎', '観光', 'モデル', 'コース', 'タク', 'コース', '観光', 'プラン', '複数', '人', 'ワゴン', 'バン', '型', '車種', '予約', '依頼']",タクシー業界の会社
"['プラント', '向け', 'タービン・コンプレッサ', '用', '車', '室', 'ボルト', 'ナット', '産業', '機械', '用', 'ねじ', '付き', 'シャフト', '精密', 'ネジ', '製品', '製造', '主', 'その他', '建設', '機械', '用', '部品', 'スタッドボルト', 'キャップ', 'ナット', '製造']",金属部品製造業界の会社
"['圧延', 'ロール', '用', '部品', 'はじめ', '製鉄', '用', '機械', '部品', '製造', '精密', '機械', '部品', '加工', '組立', '熱処理', '表面', '処理', 'ステ', 'ライト', '硬化', '肉', '盛', '二', '次', '加工', '対応', '縦', '型', 'ターニング', 'センタ', 'CNC', '旋盤', '5', '軸', 'マシニングセンタ', '設備']",金属部品製造業界の会社
"['久留', '米', '市内', '事業', '所', '展開', '有料', '老人', 'ホーム', 'デイサービス', '事業', '所', '居宅', '介護', '支援', '事業', '所', '運営', '認知', '症', '対応', '型', '共同', '生活', '介護', '施設', 'グループホーム', '銀', '庵', '運営', '訪問', '看護', '療養', '型', '通所', '介護']",高齢者向け福祉業界の会社
